,title,n_enrolled,level,language,rating,price,sales
82,Introduction to Corporate Finance,98093.0,Introductory,English,3,225.0,22070925.0
83,Computer Science 101,39540.0,Introductory,English,2,149.0,5891460.0
84,Data Science: Wrangling,64584.0,Introductory,English,2,49.0,3164616.0
86,AI for Everyone: Master the Basics,49340.0,Introductory,English,2,49.0,2417660.0
87,The Psychology of Criminal Justice,110086.0,Introductory,English,4,99.0,10898514.0
88,Machine Learning with Python: A Practical Introduction,80161.0,Introductory,English,3,39.0,3126279.0
89,Analyzing Data with Python,94079.0,Introductory,English,3,39.0,3669081.0
90,Excel: gestión de datos,111785.0,Intermediate,Español,4,75.0,8383875.0
92,"Fundamentals of Neuroscience, Part 3: The Brain",85034.0,Introductory,English,3,99.0,8418366.0
93,Sikhism Through Its Scriptures,44125.0,Introductory,English,2,99.0,4368375.0
94,Upper-Intermediate English: Business and Modern Life,77991.0,Intermediate,English,3,50.0,3899550.0
96,Religious Literacy: Traditions and Scriptures,96972.0,Introductory,English,3,99.0,9600228.0
97,Programación para todos (empezando con Python),81004.0,Introductory,Español,3,49.0,3969196.0
98,Analyzing and Visualizing Data with Power BI,28879.0,Introductory,English,1,99.0,2859021.0
99,High-Dimensional Data Analysis,78443.0,Advanced,English,3,149.0,11688007.0
100,Introduction To Music Theory,67029.0,Introductory,English,2,49.0,3284421.0
101,Human Anatomy,126850.0,Introductory,English,4,139.0,17632150.0
102,"CitiesX: The Past, Present and Future of Urban Life",76874.0,Introductory,English,3,99.0,7610526.0
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208.0,Introductory,English,1,99.0,2396592.0
104,Entrepreneurship 101: Who is your customer?,41838.0,Introductory,English,2,49.0,2050062.0
105,"U.S. Public Policy: Social, Economic, and Foreign Policies",44045.0,Introductory,English,2,49.0,2158205.0
106,Machine Learning with Python: from Linear Models to Deep Learning,85561.0,Advanced,English,3,300.0,25668300.0
107,Introduction to Data Science,43766.0,Introductory,English,2,39.0,1706874.0
108,Circuits and Electronics 1: Basic Circuit Analysis,52639.0,Introductory,English,2,169.0,8895991.0
110,Improving Your Business Through a Culture of Health,54136.0,Introductory,English,2,99.0,5359464.0
111,Introduction to Linear Models and Matrix Algebra,92004.0,Intermediate,English,3,149.0,13708596.0
112,DO Your Venture: Entrepreneurship For Everyone,61989.0,Introductory,English,2,150.0,9298350.0
113,El valor de la creatividad y la innovación: La Economía Naranja,23728.0,Introductory,Español,1,25.0,593200.0
114,Humanitarian Response to Conflict and Disaster,119891.0,Introductory,English,4,99.0,11869209.0
115,"Women Making History: Ten Objects, Many Stories",38939.0,Introductory,English,2,99.0,3854961.0
116,Masterpieces of World Literature,88789.0,Introductory,English,3,149.0,13229561.0
117,SQL for Data Science,39184.0,Introductory,English,2,39.0,1528176.0
118,El cerebro y las emociones en el lenguaje,41279.0,Introductory,Español,2,49.0,2022671.0
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673.0,Introductory,English,2,169.0,10591737.0
120,Python: aprender a programar,21613.0,Introductory,Español,1,49.0,1059037.0
121,Marketing Analytics: Competitive Analysis and Market Segmentation,70682.0,Intermediate,English,2,249.0,17599818.0
122,MalariaX: Defeating Malaria from the Genes to the Globe,37598.0,Intermediate,English,2,49.0,1842302.0
123,Entrepreneurship in Emerging Economies,113602.0,Introductory,English,4,125.0,14200250.0
124,JavaScript Introduction,160112.0,Introductory,English,5,199.0,31862288.0
125,People Management,113592.0,Introductory,English,4,150.0,17038800.0
126,Using Email for Networking in English,57208.0,Introductory,English,2,149.0,8523992.0
127,Databases: Relational Databases and SQL,20502.0,Introductory,English,1,50.0,1025100.0
128,C Programming: Getting Started,104108.0,Introductory,English,3,49.0,5101292.0
129,Supply Chain Analytics,145049.0,Introductory,English,4,199.0,28864751.0
130,Programming for the Web with JavaScript,91406.0,Intermediate,English,3,149.0,13619494.0
131,Introduction to Digital Humanities,37501.0,Introductory,English,2,99.0,3712599.0
132,Upper-Intermediate English: Business and Industry,103704.0,Intermediate,English,3,50.0,5185200.0
133,EmSAT English Preparation - Level 1,29101.0,Introductory,English,1,49.0,1425949.0
135,Empathy and Emotional Intelligence at Work,45867.0,Introductory,English,2,199.0,9127533.0
136,Design Thinking and Creativity for Innovation,47549.0,Intermediate,English,2,5.0,237745.0
137,China and Communism,69104.0,Introductory,English,2,139.0,9605456.0
138,Mandarin Chinese Level 1,56040.0,Introductory,English,2,149.0,8349960.0
139,Introduction to Biology - The Secret of Life,147512.0,Introductory,English,5,150.0,22126800.0
140,Photoshop: una herramienta para presentaciones innovadoras,22969.0,Introductory,Español,1,19.0,436411.0
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949.0,Introductory,English,2,99.0,5043951.0
143,Shakespeare’s Othello: The Moor,31868.0,Introductory,English,1,49.0,1561532.0
144,Basic Spanish 2: One Step Further,67687.0,Introductory,English,2,50.0,3384350.0
145,Financial Market Analysis,37452.0,Intermediate,English,2,25.0,936300.0
146,CS50's Computer Science for Business Professionals,73208.0,Introductory,English,3,90.0,6588720.0
147,Gobierno Digital,18883.0,Introductory,Español,1,25.0,472075.0
