,title,n_enrolled,level,language,rating,price,sales
325,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,2268,All,English,2,20,45360
326,Corporate Finance 101: Financial Statement Analysis & Ratios,967,All,English,1,50,48350
327,Mastering Futures Options for Beginners - Your Top 5 Plays!,1185,Beginner,English,1,200,237000
328,"Professional Options Trading, Simplified",631,All,English,1,200,126200
329,"Advanced Options Concepts - Probability, Greeks, Simulation",968,Intermediate,English,1,60,58080
330,Accounting Basics - A Complete Study,1132,All,English,1,180,203760
331,Case Studies in Macro Economics,114,Beginner,Spanish,1,50,5700
332,My Forex Strategy that win consistently over and over,204,Intermediate,English,1,200,40800
333,Understand Banks & Financial Markets ,1548,All,English,1,30,46440
334,Stock Technical Analysis with Python,409,All,English,1,50,20450
335,How to Become an Accountant from scratch!,1169,Beginner,English,1,40,46760
336,How to invest in Gold,249,Beginner,English,1,50,12450
337,Automate Your Finances,690,Beginner,French,1,20,13800
338,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),1340,All,English,1,150,201000
339,Accounting Made Easy: A Quick Guide to Financial Accounting,274,All,English,1,95,26030
340,Futures/Commodity Training (Basics),4863,Beginner,English,3,0,0
341,Cost Accounting Marginal Costing Theory and Practice,1923,All,English,1,20,38460
342,The Big Volatility Short: The Best Trade On Wall Street!,224,All,English,1,200,44800
343,Master Finance in Three Hours,721,Beginner,English,1,20,14420
344,Learn Options on Futures for Hedging Options and Stocks,51,Expert,English,1,60,3060
345,Option selling trading as income source. Beginners friendly,1276,All,English,1,195,248820
346,Introduction to Value Growth Investing,2768,All,English,2,0,0
347,Become A Forex Trader - Forex trading like a professional,1735,All,English,1,0,0
348,Hedge Fund Trading System,8985,All,German,5,0,0
349,Bulletproof Personal Finance: Expert Asset Allocation,1119,All,English,1,45,50355
350,Financial Accounting: The Complete Introductory Crash Course,2591,All,English,2,100,259100
351,Learn About Trading Options from a real wallstreet trader,1046,All,English,1,20,20920
352,Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,2239,All,English,2,20,44780
353,How to Build a Massive Stock Portfolio from Zero!,1882,All,English,1,200,376400
354,Introductory Forex Trading Course,5931,Beginner,English,4,0,0
355,Budgeting Hacks to Build Wealth!,4931,Beginner,English,3,0,0
356,Accounting and Finance for Bankers - A Comprehensive Study,3056,All,English,2,180,550080
357,Forex Prep Academy for Beginners-Real trades!,1303,Beginner,English,1,75,97725
358,Accounting for Deferred Taxes (Professional Course Level),2924,All,English,2,25,73100
359,TRADING TRUTHS,1405,All,Vietnamese,1,50,70250
360,The Binary Institute - Introductory Course in Binary Options,1121,All,English,1,0,0
361,Forex Trading vs Option Trading,1776,All,English,1,95,168720
362,How to Invest in Stocks + Billionaire Investing Tips,1643,All,English,1,40,65720
363,Value Investing For Beginners,801,Beginner,Norwegian,1,100,80100
364,TRADING TACTICS,951,All,Vietnamese,1,145,137895
365,MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,1278,Beginner,English,1,30,38340
366,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,1184,All,English,1,50,59200
367,build a solid foundation for trading options,1115,All,English,1,20,22300
368,Forex Scam: Avoid the scam today,1086,All,English,1,20,21720
369,Cost Accounting Crash Course,3730,All,English,2,20,74600
370,Option Trading for Rookies: Basic Option Strategies,810,All,English,1,95,76950
371,Business Analysis:  Working with Use Cases,2338,All,English,2,90,210420
372,Learn to Raise the Funds You Need via Crowdfunding,3403,All,English,2,20,68060
373,Business finances,4695,Beginner,English,3,75,352125
375,Trading Economic Indicators - Complete Trading System,2692,Beginner,English,2,50,134600
376,Foundation of Options Trading and Investing,6374,All,English,4,20,127480
377,Option Trading - How To Earn If You Can't Predict The Market,2305,All,English,2,145,334225
378,The Financial Analyst Skills Training (FAST) course 2017,589,All,English,1,100,58900
379,Covered Calls - Powerful Income Strategy for Stock Traders,22,Beginner,English,1,60,1320
380,Accounting 1 Simplified for You,2490,Beginner,English,2,45,112050
381,[Value Investing] Where White People Keep Their Money,2715,Expert,English,2,200,543000
382,How to Start Investing: Made Simple and Easy,1506,All,English,1,200,301200
383,Basics of Commerce A Complete Study,2197,All,English,2,150,329550
384,The Passive Investing Blueprint - Build Wealth Passively,338,All,English,1,200,67600
385,7 Steps: Your Introduction to Trading,1076,Beginner,English,1,25,26900
386,Forex - Elliott Wave Theory with Fibonacci. ,2769,All,English,2,20,55380
