,title,n_enrolled,level,language,rating,price,sales
363,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,,Beginner,English,5.0,39,
364,Japanese for beginners 1,,Beginner,English,3.0,39,
365,Java Programming: Solving Problems with Software,,Beginner,English,4.0,39,
367,L'excellence opérationnelle en pratique,,Beginner,English,5.0,39,
368,Leadership in 21st Century Organizations,,Beginner,English,5.0,39,
369,Leading Healthcare Quality and Safety,,Intermediate,English,5.0,39,
370,"Leading for Equity, Diversity and Inclusion in Higher Education",,Beginner,English,5.0,39,
371,Leading transformations: Manage change,,Beginner,English,4.0,39,
373,Learn to Speak Korean 1,,Beginner,English,5.0,39,
378,Love as a Force for Social Justice,,Beginner,English,5.0,39,
379,Machine Learning,,Beginner,English,5.0,39,
380,Machine Learning Foundations: A Case Study Approach,,Intermediate,English,4.0,39,
381,Machine Learning for All,,Beginner,English,5.0,39,
383,Machine Learning with Python,,Beginner,English,5.0,39,
384,Magic in the Middle Ages,,Beginner,English,5.0,39,
385,Making Architecture,,Beginner,English,5.0,39,
386,Management of Fashion and Luxury Companies,,Beginner,English,5.0,39,
387,Managerial Accounting Fundamentals,,Intermediate,English,5.0,39,
388,Managing Project Risks and Changes,,Advanced,English,5.0,39,
389,Managing an Agile Team,,Beginner,English,5.0,39,
390,Managing as a Coach,,Beginner,English,5.0,39,
391,Managing the Company of the Future,,Beginner,English,5.0,39,
392,Marketing Analytics,,Beginner,English,5.0,39,
393,Marketing Digital,,Beginner,English,5.0,39,
395,Marketing in a Digital World,,Beginner,English,5.0,39,
396,Mastering Data Analysis in Excel,,Intermediate,English,4.0,39,
402,Medical Neuroscience,,Intermediate,English,5.0,39,
403,Memoir and Personal Essay: Managing Your Relationship with the Reader,,Intermediate,English,4.0,39,
404,Microeconomics Principles,,Intermediate,English,5.0,39,
405,Mind Control: Managing Your Mental Health During COVID-19,,Intermediate,English,5.0,39,
406,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,,Intermediate,English,5.0,39,
408,Model Thinking,,Intermediate,English,5.0,39,
409,Modern Art & Ideas,,Beginner,English,5.0,39,
410,Modernizing Data Lakes and Data Warehouses with GCP,,Beginner,French,5.0,39,
